tempreature/J                              E                                     Cv                                    m                                  chi
6.250000000000e+00                    -6.672488928893e-01                    1.129615651076e-01                    1.181202280228e-01                    8.152820052252e-06                    
6.275000000000e+00                    -6.672180138014e-01                    1.116215820612e-01                    1.189237233723e-01                    7.919364740315e-06                    
6.300000000000e+00                    -6.626359795980e-01                    1.108331845762e-01                    1.180934383438e-01                    7.917260933157e-06                    
6.325000000000e+00                    -6.594064206421e-01                    1.103693549952e-01                    1.177303930393e-01                    7.771109037616e-06                    
6.350000000000e+00                    -6.559144674467e-01                    1.088755783769e-01                    1.179133213321e-01                    7.797926815297e-06                    
6.375000000000e+00                    -6.543472787279e-01                    1.079515582747e-01                    1.166879327933e-01                    7.681987236665e-06                    
6.400000000000e+00                    -6.513910231023e-01                    1.075829222450e-01                    1.169541104110e-01                    7.624860767819e-06                    
6.425000000000e+00                    -6.491084668467e-01                    1.065781808004e-01                    1.161589858986e-01                    7.629912003238e-06                    
6.450000000000e+00                    -6.451881548155e-01                    1.045790256406e-01                    1.167769876988e-01                    7.568996315006e-06                    
6.475000000000e+00                    -6.406564776478e-01                    1.040187531662e-01                    1.161025112511e-01                    7.542587891379e-06                    
6.500000000000e+00                    -6.405735973597e-01                    1.033984223656e-01                    1.164057125713e-01                    7.463096910633e-06                    
6.525000000000e+00                    -6.382433363336e-01                    1.029485260046e-01                    1.156654425443e-01                    7.445295580415e-06                    
